"id";"name";"suburb";"phone";"fax";"email";"createdAt";"updatedAt"
1;"THE DC OF Orroroo / Carrieton";"ORROROO";"8658 1260";"8658 1434";"Council@orroroo.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
2;"Town of Walkerville";"";"";"";"walkerville@walkerville.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
3;"Adelaide City Council";"ADELAIDE ";"8203 7203";"8203 7575";"city@adelaidecitycouncil.com";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
4;"Adelaide Hills Council";"WOODSIDE ";"8408 0400";"8389 7440";"mail@ahc.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
5;"Alexandrina Council";"GOOLWA ";"8555 7000";"8555 3603";"alex@alexandrina.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
6;"Anangu Pitjantjatjara Yankunytjatjara";"ALICE SPRINGS";"8954 8111";"8954 8110";"fmapy@anangu.com.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
7;"The Barossa Council";"NURIOOTPA  ";"8563 8444";"8563 8461";"barossa@barossa.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
8;"THE DC of Barunga West";"PORT BROUGHTON ";"8635 2107";"8635 2596";"barunga@barungawest.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
9;"Berri Barmera Council";"BERRI ";"8582 1922";"8582 3029";"records@berribarmera.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
10;"City of Burnside";"GLENSIDE ";"8366 4200";"8366 4299";"";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
11;"Campbelltown City Council";"CAMPBELLTOWN ";"8366 9222";"8337 3818";"cityof@campbelltown.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
12;"THE DC of Ceduna";"CEDUNA ";"8625 3407";"8625 3435";"council@ceduna.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
13;"City of Charles Sturt";"WOODVILLE";"8408 1111";"8408 1122";"council@charlessturt.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
14;"Clare & Gilbert Valleys Council";"CLARE ";"8842 6400";"8842 3624";"admin@cgvc.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
15;"THE DC OF Cleve";"CLEVE ";"8628 2004";"8628 2428";"council@cleve.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
16;"THE DC OF Coober Pedy";"COOBER PEDY ";"8672 5298";"8672 5699";"dccp@cpcouncil.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
17;"Coorong District Council";"TAILEM BEND ";"1300 785 277";"8575 1516";"council@coorong.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
18;"THE DC OF Copper Coast";"KADINA ";"8821 1600";"8821 2736";"info@coppercoast.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
19;"THE DC OF Elliston";"ELLISTON ";"8687 9177";"8687 9176";"dce@elliston.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
20;"The Flinders Ranges Council";"QUORN ";"8648 6031";"8648 6001";"council@frc.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
21;"THE DC OF Franklin Harbour";"COWELL ";"8629 2019";"8629 2152";"council@franklinharbour.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
22;"Town of Gawler";"GAWLER ";"8522 9211";"8522 9212";"council@gawler.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
23;"Regional Council of Goyder";"BURRA ";"8892 0100";"8892 2467";"council@goyder.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
24;"THE DC OF Grant";"MOUNT GAMBIER ";"8721 0444";"8721 0410";"info@dcgrant.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
25;"City of Holdfast Bay";"BRIGHTON ";"8229 9999";"8298 4561";"mail@holdfast.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
26;"Kangaroo Island Council";"KINGSCOTE ";"8553 4500";"8553 2885";"kicouncil@kicouncil.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
27;"THE DC OF Karoonda East Murray";"KAROONDA ";"8578 1004";"8578 1246";"council@dckem.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
28;"THE DC OF Kimba";"KIMBA ";"8627 2026";"8627 2382";"council@kimba.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
29;"Kingston District Council";"KINGSTON ";"8767 2033";"8767 2937";"info@kingstondc.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
30;"Light Regional Council";"KAPUNDA ";"8525 3200";"8566 3262";"light@light.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
31;"THE DC OF Lower Eyre Peninsula";"CUMMINS ";"8676 2106";"8676 2375";"development@dclep.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
32;"THE DC OF Loxton Waikerie";"LOXTON ";"8584 8000";"8584 6622";"council@loxtonwaikerie.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
33;"THE DC OF Mallala";"MALLALA ";"8527 2006";"8527 2242";"info@mallala.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
34;"City of Marion";"OAKLANDS PARK ";"8375 6600";"8375 6699";"council@marion.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
35;"Mid Murray Council";"MANNUM ";"8569 0100";"8569 1931";"postbox@mid-murray.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
36;"City of Mitcham";"TORRENS PARK ";"8372 8888";"8372 8101";"mitcham@mitchamcouncil.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
37;"THE DC OF Mount Barker";"MOUNT BARKER ";"8391 7200";"8391 2064";"council@dcmtbarker.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
38;"City of Mount Gambier";"MOUNT GAMBIER ";"8721 2555";"8724 9791";"city@mountgambier.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
39;"THE DC OF Mount Remarkable";"MELROSE ";"8666 2014";"8666 2169";"postmaster@mtr.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
