"id";"serial";"selling";"serviceInterval";"commission";"lastService";"nextService";"service";"status";"type";"createdAt";"updatedAt";"OrganisationId";"CurrentOwnerId"
"05ccfe5c-d761-4c11-9909-352f2a0105a7";"160179";0;90;"2018-02-01 02:37:00";"2018-10-23 13:30:00";"2019-01-21 13:30:00";1;"COMMISSIONED";"OZZIKLEEN";"2018-02-02 03:38:55";"2018-10-24 01:10:42";"726be070-b520-11e5-9464-5b3f2a16f175";"511b7aea-f588-4039-b9d1-d05429b05fc4"
"06a34d1f-86ba-4f6a-90c4-74858520c9f0";"150277";0;90;"2015-09-01 00:00:00";"2017-10-30 13:30:00";"2018-01-28 13:30:00";0;"COMMISSIONED";"OZZIKLEEN";"2016-03-07 02:41:27";"2018-03-02 03:52:02";"726be070-b520-11e5-9464-5b3f2a16f175";"b4e26985-65e4-46ce-943c-39cc2a1688be"
"07040823-341d-4e1a-8e84-e4624aa0ffb2";"1234567890";0;90;"2018-05-24 04:14:00";"2018-08-26 14:30:00";"2018-11-24 14:30:00";1;"COMMISSIONED";"OZZIKLEEN";"2018-08-24 04:15:08";"2018-08-27 03:45:27";"726be070-b520-11e5-9464-5b3f2a16f175";"18535c32-beba-485b-a22c-266a9b632ed2"
"074d03f1-e62d-4c99-aa3c-150f5f0ad2c4";"1756616536";0;90;"";"2018-10-17 13:30:00";"2019-01-15 13:30:00";1;"COMMISSIONED";"OZZIKLEEN";"2017-02-09 02:51:46";"2018-10-18 00:34:14";"726be070-b520-11e5-9464-5b3f2a16f175";""
"08dfc894-3e20-4044-90f1-3e47706cef7d";"1234567890";0;90;"2016-12-31 23:42:00";"2018-11-08 13:30:00";"2019-02-06 13:30:00";1;"COMMISSIONED";"OZZIKLEEN";"2018-08-09 00:42:55";"2018-11-09 00:52:06";"726be070-b520-11e5-9464-5b3f2a16f175";"b062ad70-b9cc-4b06-a305-6a7945afc99a"
"0c24a17a-6fa0-4b58-87ee-e1f3e10b9c4d";"150274";0;90;"2015-09-01 00:00:00";"2017-10-30 13:30:00";"2018-01-28 13:30:00";0;"COMMISSIONED";"OZZIKLEEN";"2016-03-07 02:55:26";"2018-06-14 03:59:42";"726be070-b520-11e5-9464-5b3f2a16f175";"b4e26985-65e4-46ce-943c-39cc2a1688be"
"0d62212d-a5db-47c7-9006-e8777fe9e8f6";"160162";0;90;"2017-01-01 04:22:00";"";"2017-05-29 05:22:00";1;"COMMISSIONED";"OZZIKLEEN";"2017-05-26 05:23:21";"2018-10-17 00:49:48";"726be070-b520-11e5-9464-5b3f2a16f175";"1fe9e6e8-806f-45f2-94d9-5641b3f8f9bf"
"100adc30-9ba2-4712-895b-3dfb99e626e2";"160162";0;90;"2017-01-06 00:48:00";"2018-10-17 13:30:00";"2019-01-15 13:30:00";1;"COMMISSIONED";"OZZIKLEEN";"2017-08-03 01:50:26";"2018-10-18 05:50:08";"726be070-b520-11e5-9464-5b3f2a16f175";"1fe9e6e8-806f-45f2-94d9-5641b3f8f9bf"
"13f47bfa-924b-427a-833f-5aacb7b69a23";"140476";0;90;"2015-09-01 00:00:00";"2017-10-30 13:30:00";"2018-01-28 13:30:00";0;"COMMISSIONED";"OZZIKLEEN";"2016-03-07 02:00:14";"2018-03-02 03:52:16";"726be070-b520-11e5-9464-5b3f2a16f175";"b4e26985-65e4-46ce-943c-39cc2a1688be"
"155b9ea1-fd46-4422-bbd1-15fc8c4c13ca";"140460";0;90;"2015-09-01 00:00:00";"2017-10-30 13:30:00";"2018-01-28 13:30:00";0;"COMMISSIONED";"OZZIKLEEN";"2016-03-07 02:32:15";"2018-03-02 03:52:23";"726be070-b520-11e5-9464-5b3f2a16f175";"b4e26985-65e4-46ce-943c-39cc2a1688be"
"1594b0e7-f65e-47b5-88da-069a02678527";"1756616536";0;90;"2016-07-18 03:49:00";"2018-10-21 13:30:00";"2019-01-19 13:30:00";1;"COMMISSIONED";"OZZIKLEEN";"2018-07-25 03:50:45";"2018-10-21 22:56:24";"726be070-b520-11e5-9464-5b3f2a16f175";"28c404c6-b69b-11e5-a3ef-ca8d614123eb"
"1734e8e2-2835-4dd4-bd3a-6d21f9e3ae58";"Non-ozzikleen";0;90;"2018-02-06 00:44:00";"2018-07-24 14:30:00";"2018-10-22 14:30:00";1;"COMMISSIONED";"OZZIKLEEN";"2018-07-19 01:48:10";"2018-07-25 03:11:25";"726be070-b520-11e5-9464-5b3f2a16f175";"70350685-275d-48c3-bcda-0e72dac763db"
"1904e8e3-72a2-4b2a-9023-9476b99a0b7d";"1234567890";0;90;"";"2018-09-03 14:30:00";"2018-12-02 14:30:00";1;"COMMISSIONED";"OZZIKLEEN";"2017-01-23 01:10:02";"2018-09-04 05:39:18";"726be070-b520-11e5-9464-5b3f2a16f175";"16dc5423-a19a-469c-a042-58fa0aa69319"
